,r1,r2,p1,p2,gesture
294,-17.0,-87.0,-89.0,-49.0,0.0
295,-17.0,-87.0,-89.0,-49.0,0.0
296,-17.0,-87.0,-89.0,-49.0,0.0
297,-17.0,-87.0,-89.0,-49.0,0.0
298,-17.0,-87.0,-89.0,-49.0,0.0
299,-17.0,-87.0,-89.0,-49.0,0.0
300,-17.0,-87.0,-89.0,-49.0,0.0
301,-17.0,-87.0,-89.0,-49.0,0.0
302,-17.0,-87.0,-89.0,-49.0,0.0
303,-17.0,-87.0,-89.0,-49.0,0.0
304,-17.0,-87.0,-89.0,-49.0,0.0
305,-17.0,-87.0,-89.0,-49.0,0.0
306,-17.0,-87.0,-89.0,-49.0,0.0
307,-17.0,-87.0,-89.0,-49.0,0.0
308,-17.0,-87.0,-89.0,-49.0,0.0
309,-17.0,-87.0,-89.0,-49.0,0.0
310,-17.0,-87.0,-89.0,-49.0,0.0
311,-17.0,-87.0,-89.0,-49.0,0.0
312,-17.0,-87.0,-89.0,-49.0,0.0
313,-17.0,-87.0,-89.0,-49.0,0.0
314,-17.0,-87.0,-89.0,-49.0,0.0
315,-17.0,-87.0,-89.0,-49.0,0.0
316,-17.0,-87.0,-89.0,-49.0,0.0
317,-17.0,-87.0,-89.0,-49.0,0.0
318,-17.0,-87.0,-89.0,-49.0,0.0
319,-17.0,-87.0,-89.0,-49.0,0.0
320,-17.0,-87.0,-89.0,-49.0,0.0
321,-18.0,-87.0,-89.0,-49.0,0.0
322,-17.0,-87.0,-89.0,-49.0,0.0
323,-18.0,-87.0,-89.0,-49.0,0.0
324,-17.0,-87.0,-89.0,-49.0,0.0
325,-17.0,-87.0,-89.0,-49.0,0.0
326,-17.0,-87.0,-89.0,-49.0,0.0
327,-17.0,-87.0,-89.0,-49.0,0.0
328,-17.0,-87.0,-89.0,-49.0,0.0
329,-17.0,-87.0,-89.0,-49.0,0.0
330,-17.0,-87.0,-89.0,-49.0,0.0
331,-17.0,-87.0,-89.0,-49.0,0.0
332,-17.0,-87.0,-89.0,-49.0,0.0
333,-17.0,-87.0,-89.0,-49.0,0.0
334,-17.0,-87.0,-89.0,-49.0,0.0
335,-17.0,-87.0,-89.0,-49.0,0.0
336,-17.0,-87.0,-89.0,-49.0,0.0
337,-17.0,-87.0,-89.0,-49.0,0.0
338,-17.0,-87.0,-89.0,-49.0,0.0
339,-17.0,-87.0,-89.0,-49.0,0.0
340,-17.0,-87.0,-89.0,-49.0,0.0
341,-17.0,-87.0,-89.0,-49.0,0.0
342,-17.0,-87.0,-89.0,-49.0,0.0
343,-17.0,-87.0,-89.0,-49.0,0.0
344,-17.0,-87.0,-89.0,-49.0,0.0
345,-17.0,-87.0,-89.0,-49.0,0.0
346,-17.0,-87.0,-89.0,-49.0,0.0
347,-17.0,-87.0,-89.0,-49.0,0.0
348,-17.0,-87.0,-89.0,-49.0,0.0
349,-17.0,-87.0,-89.0,-49.0,0.0
350,-17.0,-87.0,-89.0,-49.0,0.0
351,-17.0,-87.0,-89.0,-49.0,0.0
352,-17.0,-87.0,-89.0,-49.0,0.0
353,-17.0,-87.0,-89.0,-49.0,0.0
354,-17.0,-87.0,-89.0,-49.0,0.0
355,-17.0,-87.0,-89.0,-49.0,0.0
356,-17.0,-87.0,-89.0,-49.0,0.0
357,-17.0,-87.0,-89.0,-49.0,0.0
358,-17.0,-87.0,-89.0,-49.0,0.0
359,-17.0,-87.0,-89.0,-49.0,0.0
360,-17.0,-87.0,-89.0,-49.0,0.0
361,-17.0,-87.0,-89.0,-49.0,0.0
362,-17.0,-87.0,-89.0,-49.0,0.0
363,-17.0,-87.0,-89.0,-49.0,0.0
364,-17.0,-87.0,-89.0,-49.0,0.0
365,-17.0,-87.0,-89.0,-49.0,0.0
