,r1,r2,p1,p2,gesture
499,41.0,-49.0,-21.0,-4.0,0.0
500,41.0,-50.0,-20.0,-5.0,0.0
501,39.0,-54.0,-20.0,-3.0,0.0
502,36.0,-57.0,-23.0,-2.0,0.0
503,33.0,-59.0,-24.0,-1.0,0.0
504,33.0,-58.0,-27.0,-3.0,0.0
505,35.0,-57.0,-32.0,-5.0,0.0
506,37.0,-55.0,-38.0,-7.0,0.0
507,38.0,-52.0,-40.0,-9.0,0.0
508,38.0,-50.0,-40.0,-10.0,0.0
509,39.0,-49.0,-41.0,-12.0,0.0
510,39.0,-49.0,-42.0,-12.0,0.0
511,40.0,-49.0,-41.0,-13.0,0.0
512,40.0,-48.0,-41.0,-14.0,0.0
513,39.0,-48.0,-42.0,-14.0,0.0
514,39.0,-48.0,-43.0,-15.0,0.0
515,37.0,-48.0,-44.0,-15.0,0.0
516,36.0,-48.0,-45.0,-16.0,0.0
517,36.0,-47.0,-46.0,-16.0,0.0
518,36.0,-47.0,-46.0,-17.0,0.0
519,36.0,-47.0,-46.0,-17.0,0.0
520,35.0,-47.0,-48.0,-18.0,0.0
521,35.0,-46.0,-46.0,-18.0,0.0
522,35.0,-46.0,-45.0,-20.0,0.0
523,34.0,-45.0,-47.0,-20.0,0.0
524,32.0,-46.0,-49.0,-21.0,0.0
525,32.0,-45.0,-51.0,-21.0,0.0
526,32.0,-44.0,-51.0,-22.0,0.0
527,32.0,-42.0,-51.0,-22.0,0.0
528,33.0,-40.0,-50.0,-22.0,0.0
529,33.0,-39.0,-49.0,-22.0,0.0
530,35.0,-38.0,-47.0,-21.0,0.0
531,34.0,-37.0,-46.0,-19.0,0.0
532,34.0,-37.0,-47.0,-17.0,0.0
533,33.0,-37.0,-49.0,-16.0,0.0
534,33.0,-35.0,-50.0,-15.0,0.0
535,33.0,-36.0,-50.0,-16.0,0.0
536,30.0,-35.0,-48.0,-15.0,0.0
537,27.0,-35.0,-33.0,-14.0,0.0
538,25.0,-34.0,-34.0,-13.0,0.0
539,25.0,-35.0,-37.0,-14.0,0.0
540,25.0,-36.0,-37.0,-15.0,0.0
541,25.0,-35.0,-36.0,-14.0,0.0
542,26.0,-36.0,-36.0,-14.0,0.0
543,26.0,-36.0,-36.0,-15.0,0.0
544,27.0,-35.0,-35.0,-14.0,0.0
545,28.0,-35.0,-35.0,-14.0,0.0
546,28.0,-35.0,-35.0,-14.0,0.0
547,29.0,-35.0,-35.0,-14.0,0.0
548,30.0,-34.0,-35.0,-14.0,0.0
549,30.0,-33.0,-35.0,-14.0,0.0
550,31.0,-33.0,-35.0,-14.0,0.0
551,31.0,-32.0,-35.0,-14.0,0.0
552,31.0,-32.0,-35.0,-14.0,0.0
553,32.0,-32.0,-34.0,-13.0,0.0
554,32.0,-32.0,-34.0,-13.0,0.0
555,32.0,-32.0,-34.0,-13.0,0.0
556,32.0,-32.0,-35.0,-13.0,0.0
557,33.0,-32.0,-35.0,-14.0,0.0
558,35.0,-30.0,-35.0,-13.0,0.0
559,36.0,-29.0,-34.0,-12.0,0.0
560,36.0,-29.0,-34.0,-12.0,0.0
561,37.0,-29.0,-35.0,-13.0,0.0
562,38.0,-28.0,-34.0,-12.0,0.0
563,39.0,-28.0,-34.0,-12.0,0.0
564,40.0,-27.0,-34.0,-13.0,0.0
565,41.0,-26.0,-35.0,-14.0,0.0
566,41.0,-26.0,-35.0,-15.0,0.0
567,42.0,-25.0,-34.0,-15.0,0.0
568,41.0,-26.0,-34.0,-15.0,0.0
569,42.0,-26.0,-34.0,-16.0,0.0
